제품유형,화면,질문,답,다음화면,비고,컨트롤,값
분말·과립,q017_055_103_activityclass,활동 등급 선택,"분말, 과립 또는 펠릿형 재료의 이송 / 분말, 과립 또는 펠릿형 재료의 낙하",q024_062_110_fallinggranularmaterial,,ctl00$cphMain$ActivityClass~~selSubclass,rbGranularMaterialTransfer~~7
분말·과립,q017_055_103_activityclass,활동 등급 선택,"분말, 과립 또는 펠릿형 재료의 이송 / 분말, 과립 또는 펠릿형 재료의 낙하",q024_062_110_fallinggranularmaterial,,ctl00$cphMain$ActivityClass~~selSubclass,rbGranularMaterialTransfer~~7
분말·과립,q017_055_103_activityclass,활동 등급 선택,"분말, 과립 또는 펠릿형 재료의 이송 / 분말, 과립 또는 펠릿형 재료의 진공 이송",q024_9_1_062_9_1_110_9_1_vacuumtransfer,,ctl00$cphMain$ActivityClass~~selSubclass,rbGranularMaterialTransfer~~8
분말·과립,q017_055_103_activityclass,활동 등급 선택,"분말, 과립 또는 펠릿형 재료의 이송 / 분말, 과립 또는 펠릿형 재료의 진공 이송",q024_9_1_062_9_1_110_9_1_vacuumtransfer,,ctl00$cphMain$ActivityClass~~selSubclass,rbGranularMaterialTransfer~~8
분말·과립,q017_055_103_activityclass,활동 등급 선택,"분말, 과립 또는 펠릿형 재료의 파쇄",q025_5_063_5_111_5_fracturinggranularmaterial,,ctl00$cphMain$ActivityClass,rbGranularMaterialFracturing
분말·과립,q017_055_103_activityclass,활동 등급 선택,"분말, 과립 또는 펠릿형 재료의 파쇄",q025_5_063_5_111_5_fracturinggranularmaterial,,ctl00$cphMain$ActivityClass,rbGranularMaterialFracturing
분말·과립,q017_055_103_activityclass,활동 등급 선택,분말의 분무 적용,q022_060_108_sprayapplicationpowders,,ctl00$cphMain$ActivityClass,rbGranularMaterialSprayApplication
분말·과립,q017_055_103_activityclass,활동 등급 선택,분말의 분무 적용,q022_060_108_sprayapplicationpowders,,ctl00$cphMain$ActivityClass,rbGranularMaterialSprayApplication
분말·과립,q017_055_103_activityclass,활동 등급 선택,오염된 고체 물체 또는 페이스트의 취급,q021_059_107_contaminatedobjectspaste,,ctl00$cphMain$ActivityClass,rbGranularMaterialHandlingContaminated
분말·과립,q017_055_103_activityclass,활동 등급 선택,오염된 고체 물체 또는 페이스트의 취급,q021_059_107_contaminatedobjectspaste,,ctl00$cphMain$ActivityClass,rbGranularMaterialHandlingContaminated
분말·과립,q017_055_103_activityclass,활동 등급 선택,오염된 고체 물체에 대한 충격,q020_058_106_impactionsolidobjects,,ctl00$cphMain$ActivityClass,rbGranularMaterialImpactionContaminated
분말·과립,q017_055_103_activityclass,활동 등급 선택,오염된 고체 물체에 대한 충격,q020_058_106_impactionsolidobjects,,ctl00$cphMain$ActivityClass,rbGranularMaterialImpactionContaminated
분말·과립,q020_058_106_impactionsolidobjects,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,경미하게 오염된(수 그램 미만의 층) 물체에 대한 충격,q020_5_058_5_106_5_impactionsolidobjectshandlingtype,,ctl00$cphMain$ISO,rbSlightlyContaminatedObjects
분말·과립,q020_058_106_impactionsolidobjects,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,경미하게 오염된(수 그램 미만의 층) 물체에 대한 충격,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$ISO,rbSlightlyContaminatedObjects
분말·과립,q020_058_106_impactionsolidobjects,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,상당하고 육안으로 보이는 오염이 있는 물체에 대한 충격 (0.5 kg 초과의 층),q020_5_058_5_106_5_impactionsolidobjectshandlingtype,,ctl00$cphMain$ISO,rbSubstantiallyContaminatedObjects
분말·과립,q020_058_106_impactionsolidobjects,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,상당하고 육안으로 보이는 오염이 있는 물체에 대한 충격 (0.5 kg 초과의 층),q020_5_058_5_106_5_impactionsolidobjectshandlingtype,,ctl00$cphMain$ISO,rbSubstantiallyContaminatedObjects
분말·과립,q020_058_106_impactionsolidobjects,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,외견상 깨끗한 물체에 대한 충격,q020_5_058_5_106_5_impactionsolidobjectshandlingtype,,ctl00$cphMain$ISO,rbNoVisibleContamination
분말·과립,q020_058_106_impactionsolidobjects,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,외견상 깨끗한 물체에 대한 충격,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$ISO,rbNoVisibleContamination
분말·과립,q020_058_106_impactionsolidobjects,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,육안으로 보이는 잔류 분진이 있는 물체에 대한 충격,q020_5_058_5_106_5_impactionsolidobjectshandlingtype,,ctl00$cphMain$ISO,rbVisibleResidualDust
분말·과립,q020_058_106_impactionsolidobjects,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,육안으로 보이는 잔류 분진이 있는 물체에 대한 충격,q020_5_058_5_106_5_impactionsolidobjectshandlingtype,,ctl00$cphMain$ISO,rbVisibleResidualDust
분말·과립,q020_058_106_impactionsolidobjects,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,육안으로 보이는 잔류 분진이 적은 물체에 대한 충격,q020_5_058_5_106_5_impactionsolidobjectshandlingtype,,ctl00$cphMain$ISO,rbLimitedVisibleResidualDust
분말·과립,q020_058_106_impactionsolidobjects,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,육안으로 보이는 잔류 분진이 적은 물체에 대한 충격,q020_5_058_5_106_5_impactionsolidobjectshandlingtype,,ctl00$cphMain$ISO,rbLimitedVisibleResidualDust
분말·과립,q020_5_058_5_106_5_impactionsolidobjectshandlingtype,취급의 종류는 무엇입니까?,중(重)기계적 충격,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$ISOHT,rbHeavyMechanical
분말·과립,q020_5_058_5_106_5_impactionsolidobjectshandlingtype,취급의 종류는 무엇입니까?,중(重)기계적 충격,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$ISOHT,rbHeavyMechanical
분말·과립,q020_5_058_5_106_5_impactionsolidobjectshandlingtype,취급의 종류는 무엇입니까?,통상적 충격 (수동 또는 경(輕)기계적),q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$ISOHT,rbNormal
분말·과립,q020_5_058_5_106_5_impactionsolidobjectshandlingtype,취급의 종류는 무엇입니까?,통상적 충격 (수동 또는 경(輕)기계적),q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$ISOHT,rbNormal
분말·과립,q021_059_107_contaminatedobjectspaste,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,경미하게 오염된(수 그램 미만의 층) 물체의 취급,q021_5_059_5_107_5_contaminatedobjectspastehandlingtype,,ctl00$cphMain$COP,rbSlightlyContaminatedObjects
분말·과립,q021_059_107_contaminatedobjectspaste,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,경미하게 오염된(수 그램 미만의 층) 물체의 취급,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$COP,rbSlightlyContaminatedObjects
분말·과립,q021_059_107_contaminatedobjectspaste,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,상당하고 육안으로 보이는 오염이 있는 물체의 취급 (0.5 kg 초과의 층),q021_5_059_5_107_5_contaminatedobjectspastehandlingtype,,ctl00$cphMain$COP,rbSubstantiallyContaminatedObjects
분말·과립,q021_059_107_contaminatedobjectspaste,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,상당하고 육안으로 보이는 오염이 있는 물체의 취급 (0.5 kg 초과의 층),q021_5_059_5_107_5_contaminatedobjectspastehandlingtype,,ctl00$cphMain$COP,rbSubstantiallyContaminatedObjects
분말·과립,q021_059_107_contaminatedobjectspaste,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,외견상 깨끗한 물체의 취급,q021_5_059_5_107_5_contaminatedobjectspastehandlingtype,,ctl00$cphMain$COP,rbNoVisibleContamination
분말·과립,q021_059_107_contaminatedobjectspaste,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,외견상 깨끗한 물체의 취급,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$COP,rbNoVisibleContamination
분말·과립,q021_059_107_contaminatedobjectspaste,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,육안으로 보이는 오염이 있는 물체의 취급 (주변 분진 발생 활동에서 비산된 분진으로 덮인 물체),q021_5_059_5_107_5_contaminatedobjectspastehandlingtype,,ctl00$cphMain$COP,rbVisibleContamination
분말·과립,q021_059_107_contaminatedobjectspaste,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,육안으로 보이는 오염이 있는 물체의 취급 (주변 분진 발생 활동에서 비산된 분진으로 덮인 물체),q021_5_059_5_107_5_contaminatedobjectspastehandlingtype,,ctl00$cphMain$COP,rbVisibleContamination
분말·과립,q021_059_107_contaminatedobjectspaste,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,잔류 분진이 적은 물체의 취급 (얇은 층이 보임),q021_5_059_5_107_5_contaminatedobjectspastehandlingtype,,ctl00$cphMain$COP,rbLimitedVisibleResidualDust
분말·과립,q021_059_107_contaminatedobjectspaste,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,잔류 분진이 적은 물체의 취급 (얇은 층이 보임),q021_5_059_5_107_5_contaminatedobjectspastehandlingtype,,ctl00$cphMain$COP,rbLimitedVisibleResidualDust
분말·과립,q021_5_059_5_107_5_contaminatedobjectspastehandlingtype,오염된 물체 또는 페이스트를 어떻게 취급합니까?,"주의 깊은 취급이란 작업자가 잠재적 위험, 오류, 피해에 주의를 기울이며 매우 정확하고 꼼꼼하게(또는 조심스럽게) 작업을 수행하는 것을 말합니다",q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$COPHT,rbCareful
분말·과립,q021_5_059_5_107_5_contaminatedobjectspastehandlingtype,오염된 물체 또는 페이스트를 어떻게 취급합니까?,"주의 깊은 취급이란 작업자가 잠재적 위험, 오류, 피해에 주의를 기울이며 매우 정확하고 꼼꼼하게(또는 조심스럽게) 작업을 수행하는 것을 말합니다",q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$COPHT,rbCareful
분말·과립,q021_5_059_5_107_5_contaminatedobjectspastehandlingtype,오염된 물체 또는 페이스트를 어떻게 취급합니까?,통상적인 작업 절차에서 벗어나 많은 에너지가 수반되는 취급 (예: 거친 취급 또는 자루 던지기),q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$COPHT,rbRough
분말·과립,q021_5_059_5_107_5_contaminatedobjectspastehandlingtype,오염된 물체 또는 페이스트를 어떻게 취급합니까?,통상적인 작업 절차에서 벗어나 많은 에너지가 수반되는 취급 (예: 거친 취급 또는 자루 던지기),q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$COPHT,rbRough
분말·과립,q021_5_059_5_107_5_contaminatedobjectspastehandlingtype,오염된 물체 또는 페이스트를 어떻게 취급합니까?,"통상적인 취급, 정규 작업 절차 수반",q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$COPHT,rbNormal
분말·과립,q021_5_059_5_107_5_contaminatedobjectspastehandlingtype,오염된 물체 또는 페이스트를 어떻게 취급합니까?,"통상적인 취급, 정규 작업 절차 수반",q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$COPHT,rbNormal
분말·과립,q022_060_108_sprayapplicationpowders,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,분체 도장,q022_5_060_5_108_5_sprayapplicationpowdersspraydirection,,ctl00$cphMain$SAS,rbPowderCoating
분말·과립,q022_060_108_sprayapplicationpowders,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,분체 도장,q022_5_060_5_108_5_sprayapplicationpowdersspraydirection,,ctl00$cphMain$SAS,rbPowderCoating
분말·과립,q022_060_108_sprayapplicationpowders,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,블로워를 이용한 분말 살포,q022_5_060_5_108_5_sprayapplicationpowdersspraydirection,,ctl00$cphMain$SAS,rbDusting
분말·과립,q022_060_108_sprayapplicationpowders,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,블로워를 이용한 분말 살포,q022_5_060_5_108_5_sprayapplicationpowdersspraydirection,,ctl00$cphMain$SAS,rbDusting
분말·과립,q022_5_060_5_108_5_sprayapplicationpowdersspraydirection,분무 방향은 어떻습니까?,모든 방향(상향 포함)으로의 분무,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$SASSD,rbAnyDirection
분말·과립,q022_5_060_5_108_5_sprayapplicationpowdersspraydirection,분무 방향은 어떻습니까?,모든 방향(상향 포함)으로의 분무,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$SASSD,rbAnyDirection
분말·과립,q022_5_060_5_108_5_sprayapplicationpowdersspraydirection,분무 방향은 어떻습니까?,수평 또는 하향 분무만,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$SASSD,rbHorizontalDownward
분말·과립,q022_5_060_5_108_5_sprayapplicationpowdersspraydirection,분무 방향은 어떻습니까?,수평 또는 하향 분무만,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$SASSD,rbHorizontalDownward
분말·과립,q022_5_060_5_108_5_sprayapplicationpowdersspraydirection,분무 방향은 어떻습니까?,하향 분무만,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$SASSD,rbDownwardOnly
분말·과립,q022_5_060_5_108_5_sprayapplicationpowdersspraydirection,분무 방향은 어떻습니까?,하향 분무만,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$SASSD,rbDownwardOnly
분말·과립,q023_061_109_movementagitationgranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,0.1 - 1 kg의 이동 및 교반,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,,ctl00$cphMain$MASP,rbG100To1000
분말·과립,q023_061_109_movementagitationgranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,0.1 - 1 kg의 이동 및 교반,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$MASP,rbG100To1000
분말·과립,q023_061_109_movementagitationgranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,1 - 10 kg의 이동 및 교반,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,,ctl00$cphMain$MASP,rbKg1To10
분말·과립,q023_061_109_movementagitationgranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,1 - 10 kg의 이동 및 교반,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$MASP,rbKg1To10
분말·과립,q023_061_109_movementagitationgranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,10 - 100 gram의 이동 및 교반,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,,ctl00$cphMain$MASP,rbG10To100
분말·과립,q023_061_109_movementagitationgranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,10 - 100 gram의 이동 및 교반,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$MASP,rbG10To100
분말·과립,q023_061_109_movementagitationgranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,10 - 100 kg의 이동 및 교반,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,,ctl00$cphMain$MASP,rbKg10To100
분말·과립,q023_061_109_movementagitationgranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,10 - 100 kg의 이동 및 교반,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,,ctl00$cphMain$MASP,rbKg10To100
분말·과립,q023_061_109_movementagitationgranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,100 - 1000 kg의 이동 및 교반,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,,ctl00$cphMain$MASP,rbKg100To1000
분말·과립,q023_061_109_movementagitationgranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,100 - 1000 kg의 이동 및 교반,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,,ctl00$cphMain$MASP,rbKg100To1000
분말·과립,q023_061_109_movementagitationgranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,1000 kg 이상의 이동 및 교반,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,,ctl00$cphMain$MASP,rbKg1000OrMore
분말·과립,q023_061_109_movementagitationgranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,1000 kg 이상의 이동 및 교반,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,,ctl00$cphMain$MASP,rbKg1000OrMore
분말·과립,q023_061_109_movementagitationgranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,< 10 gram의 이동 및 교반,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,,ctl00$cphMain$MASP,rbGLT10
분말·과립,q023_061_109_movementagitationgranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,< 10 gram의 이동 및 교반,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$MASP,rbGLT10
분말·과립,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,교반 정도는 어떻습니까?,교반 정도가 낮은 취급,q023_7_061_7_109_7_movementagitationgranularmaterialcontainmentlevel,,ctl00$cphMain$MASPHT,rbLow
분말·과립,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,교반 정도는 어떻습니까?,교반 정도가 낮은 취급,q023_7_061_7_109_7_movementagitationgranularmaterialcontainmentlevel,,ctl00$cphMain$MASPHT,rbLow
분말·과립,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,교반 정도는 어떻습니까?,교반 정도가 높은 기타 취급,q023_7_061_7_109_7_movementagitationgranularmaterialcontainmentlevel,,ctl00$cphMain$MASPHT,rbHigh
분말·과립,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,교반 정도는 어떻습니까?,교반 정도가 높은 기타 취급,q023_7_061_7_109_7_movementagitationgranularmaterialcontainmentlevel,,ctl00$cphMain$MASPHT,rbHigh
분말·과립,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,교반 정도는 어떻습니까?,압축공기 사용,q023_7_061_7_109_7_movementagitationgranularmaterialcontainmentlevel,,ctl00$cphMain$MASPHT,rbCompressedAir
분말·과립,q023_5_061_5_109_5_movementagitationgranularmaterialagitationlevel,교반 정도는 어떻습니까?,압축공기 사용,q023_7_061_7_109_7_movementagitationgranularmaterialcontainmentlevel,,ctl00$cphMain$MASPHT,rbCompressedAir
분말·과립,q023_7_061_7_109_7_movementagitationgranularmaterialcontainmentlevel,공정의 밀폐 수준은 어떻습니까?,개방 공정,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$Containment,rbOpenProcess
분말·과립,q023_7_061_7_109_7_movementagitationgranularmaterialcontainmentlevel,공정의 밀폐 수준은 어떻습니까?,개방 공정,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$Containment,rbOpenProcess
분말·과립,q023_7_061_7_109_7_movementagitationgranularmaterialcontainmentlevel,공정의 밀폐 수준은 어떻습니까?,제품과 주변 공기의 접촉을 줄이는 취급,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$Containment,rbReducedContact
분말·과립,q023_7_061_7_109_7_movementagitationgranularmaterialcontainmentlevel,공정의 밀폐 수준은 어떻습니까?,제품과 주변 공기의 접촉을 줄이는 취급,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$Containment,rbReducedContact
분말·과립,q024_062_110_fallinggranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,이송 0.1 - 1 kg/minute,q024_5_062_5_110_5_fallinggranularmaterialhandlingtype,,ctl00$cphMain$FSP,rbGPerMin100To1000
분말·과립,q024_062_110_fallinggranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,이송 0.1 - 1 kg/minute,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$FSP,rbGPerMin100To1000
분말·과립,q024_062_110_fallinggranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,이송 1 - 10 kg/minute,q024_5_062_5_110_5_fallinggranularmaterialhandlingtype,,ctl00$cphMain$FSP,rbKgPerMin1To10
